C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/06/07,02:10:00,0000000295553529,
D,TRADING,PRICE,2,"2018/05/01 20:30:00",1,TAS1,41,160.21
D,TRADING,PRICE,2,"2018/05/01 20:30:00",1,VIC1,41,76.5
D,TRADING,PRICE,2,"2018/05/01 21:00:00",1,NSW1,42,69.38
D,TRADING,PRICE,2,"2018/05/01 21:00:00",1,QLD1,42,65.28
D,TRADING,PRICE,2,"2018/05/01 21:00:00",1,SA1,42,88.91
D,TRADING,PRICE,2,"2018/05/01 21:00:00",1,TAS1,42,75.01
D,TRADING,PRICE,2,"2018/05/01 21:00:00",1,VIC1,42,72.62
D,TRADING,PRICE,2,"2018/05/01 21:30:00",1,NSW1,43,69.95
D,TRADING,PRICE,2,"2018/05/01 21:30:00",1,QLD1,43,64.92
D,TRADING,PRICE,2,"2018/05/01 21:30:00",1,SA1,43,89
D,TRADING,PRICE,2,"2018/05/01 21:30:00",1,TAS1,43,76.13
D,TRADING,PRICE,2,"2018/05/01 21:30:00",1,VIC1,43,71.99
D,TRADING,PRICE,2,"2018/05/01 22:00:00",1,NSW1,44,61.64
D,TRADING,PRICE,2,"2018/05/01 22:00:00",1,QLD1,44,57.87
D,TRADING,PRICE,2,"2018/05/01 22:00:00",1,SA1,44,76.88
D,TRADING,PRICE,2,"2018/05/01 22:00:00",1,TAS1,44,171.75
D,TRADING,PRICE,2,"2018/05/01 22:00:00",1,VIC1,44,63.27
D,TRADING,PRICE,2,"2018/05/01 22:30:00",1,NSW1,45,76.7
D,TRADING,PRICE,2,"2018/05/01 22:30:00",1,QLD1,45,71.45
D,TRADING,PRICE,2,"2018/05/01 22:30:00",1,SA1,45,94.38
D,TRADING,PRICE,2,"2018/05/01 22:30:00",1,TAS1,45,193.83
D,TRADING,PRICE,2,"2018/05/01 22:30:00",1,VIC1,45,79.4
D,TRADING,PRICE,2,"2018/05/01 23:00:00",1,NSW1,46,70
D,TRADING,PRICE,2,"2018/05/01 23:00:00",1,QLD1,46,66.43
D,TRADING,PRICE,2,"2018/05/01 23:00:00",1,SA1,46,82.96
D,TRADING,PRICE,2,"2018/05/01 23:00:00",1,TAS1,46,161.26
D,TRADING,PRICE,2,"2018/05/01 23:00:00",1,VIC1,46,71.41
D,TRADING,PRICE,2,"2018/05/01 23:30:00",1,NSW1,47,72.89
D,TRADING,PRICE,2,"2018/05/01 23:30:00",1,QLD1,47,66
D,TRADING,PRICE,2,"2018/05/01 23:30:00",1,SA1,47,82.84
D,TRADING,PRICE,2,"2018/05/01 23:30:00",1,TAS1,47,84.74
D,TRADING,PRICE,2,"2018/05/01 23:30:00",1,VIC1,47,74.25
D,TRADING,PRICE,2,"2018/05/02 00:00:00",1,NSW1,48,71.71
D,TRADING,PRICE,2,"2018/05/02 00:00:00",1,QLD1,48,61.77
D,TRADING,PRICE,2,"2018/05/02 00:00:00",1,SA1,48,86.09
D,TRADING,PRICE,2,"2018/05/02 00:00:00",1,TAS1,48,77.67
D,TRADING,PRICE,2,"2018/05/02 00:00:00",1,VIC1,48,75.91
D,TRADING,PRICE,2,"2018/05/02 00:30:00",1,NSW1,1,62.6
D,TRADING,PRICE,2,"2018/05/02 00:30:00",1,QLD1,1,54.09
D,TRADING,PRICE,2,"2018/05/02 00:30:00",1,SA1,1,75.89
D,TRADING,PRICE,2,"2018/05/02 00:30:00",1,TAS1,1,75.92
D,TRADING,PRICE,2,"2018/05/02 00:30:00",1,VIC1,1,66.31
D,TRADING,PRICE,2,"2018/05/02 01:00:00",1,NSW1,2,51.93
D,TRADING,PRICE,2,"2018/05/02 01:00:00",1,QLD1,2,45.94
D,TRADING,PRICE,2,"2018/05/02 01:00:00",1,SA1,2,59.1
D,TRADING,PRICE,2,"2018/05/02 01:00:00",1,TAS1,2,87.09
D,TRADING,PRICE,2,"2018/05/02 01:00:00",1,VIC1,2,52.7
D,TRADING,PRICE,2,"2018/05/02 01:30:00",1,NSW1,3,36.6
D,TRADING,PRICE,2,"2018/05/02 01:30:00",1,QLD1,3,32.55
D,TRADING,PRICE,2,"2018/05/02 01:30:00",1,SA1,3,38.88
D,TRADING,PRICE,2,"2018/05/02 01:30:00",1,TAS1,3,79.46
D,TRADING,PRICE,2,"2018/05/02 01:30:00",1,VIC1,3,35.8
D,TRADING,PRICE,2,"2018/05/02 02:00:00",1,NSW1,4,48.58
D,TRADING,PRICE,2,"2018/05/02 02:00:00",1,QLD1,4,43.08
D,TRADING,PRICE,2,"2018/05/02 02:00:00",1,SA1,4,48.14
D,TRADING,PRICE,2,"2018/05/02 02:00:00",1,TAS1,4,78.39
D,TRADING,PRICE,2,"2018/05/02 02:00:00",1,VIC1,4,45.11
D,TRADING,PRICE,2,"2018/05/02 02:30:00",1,NSW1,5,43.68
D,TRADING,PRICE,2,"2018/05/02 02:30:00",1,QLD1,5,38.75
D,TRADING,PRICE,2,"2018/05/02 02:30:00",1,SA1,5,41.55
D,TRADING,PRICE,2,"2018/05/02 02:30:00",1,TAS1,5,78.35
D,TRADING,PRICE,2,"2018/05/02 02:30:00",1,VIC1,5,39.52
D,TRADING,PRICE,2,"2018/05/02 03:00:00",1,NSW1,6,47.27
D,TRADING,PRICE,2,"2018/05/02 03:00:00",1,QLD1,6,41.91
D,TRADING,PRICE,2,"2018/05/02 03:00:00",1,SA1,6,41.23
D,TRADING,PRICE,2,"2018/05/02 03:00:00",1,TAS1,6,118.61
D,TRADING,PRICE,2,"2018/05/02 03:00:00",1,VIC1,6,37.9
D,TRADING,PRICE,2,"2018/05/02 03:30:00",1,NSW1,7,42.38
D,TRADING,PRICE,2,"2018/05/02 03:30:00",1,QLD1,7,37.33
D,TRADING,PRICE,2,"2018/05/02 03:30:00",1,SA1,7,37.7
D,TRADING,PRICE,2,"2018/05/02 03:30:00",1,TAS1,7,112.94
D,TRADING,PRICE,2,"2018/05/02 03:30:00",1,VIC1,7,36.6
D,TRADING,PRICE,2,"2018/05/02 04:00:00",1,NSW1,8,35.73
D,TRADING,PRICE,2,"2018/05/02 04:00:00",1,QLD1,8,31.61
D,TRADING,PRICE,2,"2018/05/02 04:00:00",1,SA1,8,31.84
D,TRADING,PRICE,2,"2018/05/02 04:00:00",1,TAS1,8,113.14
D,TRADING,PRICE,2,"2018/05/02 04:00:00",1,VIC1,8,31.45
D,TRADING,PRICE,2,"2018/05/02 04:30:00",1,NSW1,9,46.93
D,TRADING,PRICE,2,"2018/05/02 04:30:00",1,QLD1,9,42.13
D,TRADING,PRICE,2,"2018/05/02 04:30:00",1,SA1,9,39.28
D,TRADING,PRICE,2,"2018/05/02 04:30:00",1,TAS1,9,80.11
D,TRADING,PRICE,2,"2018/05/02 04:30:00",1,VIC1,9,38.62
D,TRADING,PRICE,2,"2018/05/02 05:00:00",1,NSW1,10,51.21
D,TRADING,PRICE,2,"2018/05/02 05:00:00",1,QLD1,10,46.38
D,TRADING,PRICE,2,"2018/05/02 05:00:00",1,SA1,10,45.12
D,TRADING,PRICE,2,"2018/05/02 05:00:00",1,TAS1,10,73.71
D,TRADING,PRICE,2,"2018/05/02 05:00:00",1,VIC1,10,45.35
D,TRADING,PRICE,2,"2018/05/02 05:30:00",1,NSW1,11,51.31
D,TRADING,PRICE,2,"2018/05/02 05:30:00",1,QLD1,11,47.78
D,TRADING,PRICE,2,"2018/05/02 05:30:00",1,SA1,11,45.21
D,TRADING,PRICE,2,"2018/05/02 05:30:00",1,TAS1,11,74.69
D,TRADING,PRICE,2,"2018/05/02 05:30:00",1,VIC1,11,46.18
D,TRADING,PRICE,2,"2018/05/02 06:00:00",1,NSW1,12,60.48
D,TRADING,PRICE,2,"2018/05/02 06:00:00",1,QLD1,12,54.04
D,TRADING,PRICE,2,"2018/05/02 06:00:00",1,SA1,12,55.04
D,TRADING,PRICE,2,"2018/05/02 06:00:00",1,TAS1,12,74.69
D,TRADING,PRICE,2,"2018/05/02 06:00:00",1,VIC1,12,56.35
D,TRADING,PRICE,2,"2018/05/02 06:30:00",1,NSW1,13,71.72
D,TRADING,PRICE,2,"2018/05/02 06:30:00",1,QLD1,13,61.77
D,TRADING,PRICE,2,"2018/05/02 06:30:00",1,SA1,13,69.91
D,TRADING,PRICE,2,"2018/05/02 06:30:00",1,TAS1,13,74.49
D,TRADING,PRICE,2,"2018/05/02 06:30:00",1,VIC1,13,71.8
D,TRADING,PRICE,2,"2018/05/02 07:00:00",1,NSW1,14,85.84
D,TRADING,PRICE,2,"2018/05/02 07:00:00",1,QLD1,14,70.62
D,TRADING,PRICE,2,"2018/05/02 07:00:00",1,SA1,14,89.76
D,TRADING,PRICE,2,"2018/05/02 07:00:00",1,TAS1,14,75.06
D,TRADING,PRICE,2,"2018/05/02 07:00:00",1,VIC1,14,89.92
D,TRADING,PRICE,2,"2018/05/02 07:30:00",1,NSW1,15,77.72
D,TRADING,PRICE,2,"2018/05/02 07:30:00",1,QLD1,15,65.76
D,TRADING,PRICE,2,"2018/05/02 07:30:00",1,SA1,15,80.98
D,TRADING,PRICE,2,"2018/05/02 07:30:00",1,TAS1,15,94.37
D,TRADING,PRICE,2,"2018/05/02 07:30:00",1,VIC1,15,79.74
D,TRADING,PRICE,2,"2018/05/02 08:00:00",1,NSW1,16,73.62
D,TRADING,PRICE,2,"2018/05/02 08:00:00",1,QLD1,16,63.61
D,TRADING,PRICE,2,"2018/05/02 08:00:00",1,SA1,16,70.12
D,TRADING,PRICE,2,"2018/05/02 08:00:00",1,TAS1,16,85
D,TRADING,PRICE,2,"2018/05/02 08:00:00",1,VIC1,16,70.87
D,TRADING,PRICE,2,"2018/05/02 08:30:00",1,NSW1,17,81.97
D,TRADING,PRICE,2,"2018/05/02 08:30:00",1,QLD1,17,53.93
D,TRADING,PRICE,2,"2018/05/02 08:30:00",1,SA1,17,76.61
D,TRADING,PRICE,2,"2018/05/02 08:30:00",1,TAS1,17,83.59
D,TRADING,PRICE,2,"2018/05/02 08:30:00",1,VIC1,17,77
D,TRADING,PRICE,2,"2018/05/02 09:00:00",1,NSW1,18,69.63
D,TRADING,PRICE,2,"2018/05/02 09:00:00",1,QLD1,18,57.59
D,TRADING,PRICE,2,"2018/05/02 09:00:00",1,SA1,18,64.53
D,TRADING,PRICE,2,"2018/05/02 09:00:00",1,TAS1,18,79.01
D,TRADING,PRICE,2,"2018/05/02 09:00:00",1,VIC1,18,65.38
D,TRADING,PRICE,2,"2018/05/02 09:30:00",1,NSW1,19,70.25
D,TRADING,PRICE,2,"2018/05/02 09:30:00",1,QLD1,19,27.1
D,TRADING,PRICE,2,"2018/05/02 09:30:00",1,SA1,19,63.28
D,TRADING,PRICE,2,"2018/05/02 09:30:00",1,TAS1,19,82.47
D,TRADING,PRICE,2,"2018/05/02 09:30:00",1,VIC1,19,65.67
