"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.08.06","X16.05.11","X0000000428653915","X","X0000000428653863"
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","ROYALLA1","15.802001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","RPCG","-0.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","SHOAL1","43.174999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","WAUBRAWF","30.124001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","WOOLNTH1","1.42",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","YAMBUKWF","2.40",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","YSWF1","0.40",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","BARCSF1","7.50",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","BUTLERSG","7.299998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","BWTR1","4.687120",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","CAPTL_WF","19.396780",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","CHALLHWF","1.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","CLOVER","-0.01",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","CLUNY","9.219959",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","CONDONG1","19.719999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","CULLRGWF","3.77",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","DIAPURWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","GB01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","GERMCRK","17.8440",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","GRIFSF1","13.701076",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","HUGSF1","4.7050",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","KEPBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:25:00","LRSF1","0",NA,NA,NA
